City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Zhigansk,RU,2021-05-25 05:15:00,66.7697,123.3711,53.56,27,100,8.08
192,Arraial Do Cabo,BR,2021-05-25 05:15:00,-22.9661,-42.0278,69.84,66,99,19.39
193,Saint-Pierre,RE,2021-05-25 05:15:00,-21.3393,55.4781,78.44,69,0,17.27
194,Portland,US,2021-05-25 05:14:35,45.5234,-122.6762,57.88,91,100,1.99
195,Sosnovo-Ozerskoye,RU,2021-05-25 05:15:00,52.5249,111.5418,49.08,41,100,10.67
196,Takefu,JP,2021-05-25 05:15:01,35.9039,136.1669,73.89,47,69,4.12
197,Waounde,SN,2021-05-25 05:15:01,15.2637,-12.8682,87.62,26,95,13.27
198,Pangnirtung,CA,2021-05-25 05:11:15,66.1451,-65.7125,18.7,96,100,0.87
199,Riyadh,SA,2021-05-25 05:13:27,24.6877,46.7219,98.74,10,57,10.36
200,Chipinge,ZW,2021-05-25 05:15:01,-20.1883,32.6236,49.48,76,0,2.48
201,Marawi,PH,2021-05-25 05:15:02,7.9986,124.2928,76.71,83,99,5.68
202,Flinders,AU,2021-05-25 05:15:02,-34.5833,150.8552,72.18,64,99,4.0
203,Provideniya,RU,2021-05-25 05:15:07,64.3833,-173.3,42.91,61,0,17.9
204,Los Llanos De Aridane,ES,2021-05-25 05:15:07,28.6585,-17.9182,64.15,77,90,18.57
205,Adamas,GR,2021-05-25 05:15:08,36.7333,24.4333,76.42,78,0,11.21
206,Vila Velha,BR,2021-05-25 05:11:04,-20.3297,-40.2925,75.15,78,90,5.99
207,Minbu,MM,2021-05-25 05:15:08,20.1833,94.8833,85.62,61,81,17.25
208,Lexington-Fayette,US,2021-05-25 05:12:26,38.0498,-84.4585,69.93,76,1,5.53
209,Indapur,IN,2021-05-25 05:15:08,18.3,73.25,90.52,56,100,7.94
210,Sur,OM,2021-05-25 05:15:09,22.5667,59.5289,97.74,35,1,7.87
211,Arraias,BR,2021-05-25 05:15:09,-12.9288,-46.9437,70.39,55,36,4.43
212,Sakaiminato,JP,2021-05-25 05:15:09,35.55,133.2333,74.44,49,73,18.99
213,Qaqortoq,GL,2021-05-25 05:15:09,60.7167,-46.0333,41.5,99,100,7.07
214,Naica,MX,2021-05-25 05:15:10,27.85,-105.4833,79.43,13,59,18.88
215,Platteville,US,2021-05-25 05:15:10,42.7342,-90.4785,74.01,94,90,6.91
216,Lorengau,PG,2021-05-25 05:15:10,-2.0226,147.2712,81.3,86,99,12.41
217,Srednekolymsk,RU,2021-05-25 05:15:10,67.45,153.6833,58.42,29,6,13.18
218,Emerald,AU,2021-05-25 05:11:06,-23.5333,148.1667,78.35,50,41,11.16
219,Chalchihuites,MX,2021-05-25 05:15:11,23.4833,-103.8833,62.71,33,6,5.93
220,Pevek,RU,2021-05-25 05:15:11,69.7008,170.3133,33.49,90,100,3.58
221,Gat,IL,2021-05-25 05:15:11,31.61,34.7642,73.9,54,1,0.83
222,Charters Towers,AU,2021-05-25 05:15:12,-20.1,146.2667,77.79,45,14,14.67
223,Batemans Bay,AU,2021-05-25 05:15:12,-35.7167,150.1833,72.19,51,100,7.96
224,Namuac,PH,2021-05-25 05:15:12,18.6109,121.1657,88.39,64,19,9.31
225,Cabo San Lucas,MX,2021-05-25 05:11:48,22.8909,-109.9124,78.8,57,1,9.69
226,Guerrero Negro,MX,2021-05-25 05:15:12,27.9769,-114.0611,61.63,84,40,10.58
227,Alice Springs,AU,2021-05-25 05:13:42,-23.7,133.8833,69.35,59,90,9.13
228,Providencia,MX,2021-05-25 05:15:13,28.7167,-111.5833,82.45,18,2,6.85
229,Parys,FR,2021-05-25 05:15:13,48.8534,2.3488,47.77,88,75,8.99
230,Canutama,BR,2021-05-25 05:15:13,-6.5339,-64.3831,72.79,99,57,4.85
231,Saurimo,AO,2021-05-25 05:15:14,-9.6608,20.3916,52.59,62,6,5.12
232,Broome,US,2021-05-25 05:15:14,42.2506,-75.833,60.06,94,90,1.01
233,Sao Filipe,CV,2021-05-25 05:15:14,14.8961,-24.4956,71.83,80,3,10.49
234,Chokurdakh,RU,2021-05-25 05:15:14,70.6333,147.9167,36.75,99,99,6.46
235,Kruisfontein,ZA,2021-05-25 05:15:15,-34.0033,24.7314,54.88,74,97,3.94
236,Atikokan,CA,2021-05-25 05:15:15,48.7555,-91.6216,59.07,98,39,6.02
237,Ahipara,NZ,2021-05-25 05:15:15,-35.1667,173.1667,58.68,71,96,13.35
238,Rocha,UY,2021-05-25 05:15:15,-34.4833,-54.3333,53.01,66,0,15.5
239,Paita,PE,2021-05-25 05:15:16,-5.0892,-81.1144,68.14,86,10,10.74
240,Vardo,NO,2021-05-25 05:15:16,70.3705,31.1107,37.6,64,18,3.89
241,Ulladulla,AU,2021-05-25 05:15:16,-35.35,150.4667,69.1,57,100,11.32
242,Horsham,GB,2021-05-25 05:15:17,51.064,-0.3272,47.59,96,0,8.3
243,Thanh Hoa,VN,2021-05-25 05:12:59,19.8,105.7667,84.15,72,86,9.08
244,Yelan-Koleno,RU,2021-05-25 05:15:17,51.1523,41.2306,62.22,69,90,9.46
245,Port Hedland,AU,2021-05-25 05:15:17,-20.3167,118.5667,75.25,29,90,16.11
246,Rabak,SD,2021-05-25 05:15:17,13.1809,32.74,86.94,47,2,14.54
