City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
326,Bajil,YE,15.0584,43.2851,95.14,32,30,5.28,scattered clouds
327,Luanda,AO,-8.8368,13.2343,82.4,74,0,8.05,clear sky
328,Maumere,ID,-8.6199,122.2111,77.54,78,8,3.62,clear sky
329,Sayat,TM,38.7839,63.8803,91.27,14,40,15.7,scattered clouds
330,Guerrero Negro,MX,27.9769,-114.0611,64.94,60,12,14.25,few clouds
331,Vila Velha,BR,-20.3297,-40.2925,85.95,64,20,11.01,few clouds
332,Dourbali,TD,11.8091,15.8632,96.15,28,79,7.72,broken clouds
333,Yaan,NG,7.3833,8.5667,92.39,41,81,4.68,broken clouds
334,Shieli,KZ,44.1667,66.75,80.58,34,8,13.22,clear sky
335,Mookane,BW,-23.688,26.6595,65.19,21,0,2.15,clear sky
336,Port Lincoln,AU,-34.7333,135.8667,58.1,73,100,13.6,overcast clouds
337,Puerto Gaitan,CO,4.3133,-72.0816,85.23,63,39,6.55,scattered clouds
338,Clyde River,CA,70.4692,-68.5914,30.43,86,20,2.3,few clouds
339,Pevek,RU,69.7008,170.3133,35.58,75,91,4.32,overcast clouds
340,Verkhnyaya Inta,RU,65.9811,60.3094,43.27,77,100,14.99,overcast clouds
341,Cherskiy,RU,68.75,161.3,44.38,55,80,13.27,broken clouds
342,Alnavar,IN,15.4333,74.7333,75.07,84,53,8.48,broken clouds
